,Date,Close/Last
197,2023-11-21,4538.19
198,2023-11-20,4547.38
199,2023-11-17,4514.02
200,2023-11-16,4508.24
201,2023-11-15,4502.88
202,2023-11-14,4495.7
203,2023-11-13,4411.55
204,2023-11-10,4415.24
205,2023-11-09,4347.35
206,2023-11-08,4382.78
207,2023-11-07,4378.38
208,2023-11-06,4365.98
209,2023-11-03,4358.34
210,2023-11-02,4317.78
211,2023-11-01,4237.86
212,2023-10-31,4193.8
213,2023-10-30,4166.82
214,2023-10-27,4117.37
215,2023-10-26,4137.23
216,2023-10-25,4186.77
217,2023-10-24,4247.68
218,2023-10-23,4217.04
219,2023-10-20,4224.16
220,2023-10-19,4278.0
221,2023-10-18,4314.6
222,2023-10-17,4373.2
223,2023-10-16,4373.63
224,2023-10-13,4327.78
225,2023-10-12,4349.61
226,2023-10-11,4376.95
227,2023-10-10,4358.24
228,2023-10-09,4335.66
229,2023-10-06,4308.5
230,2023-10-05,4258.19
231,2023-10-04,4263.75
232,2023-10-03,4229.45
233,2023-10-02,4288.39
234,2023-09-29,4288.05
235,2023-09-28,4299.7
236,2023-09-27,4274.51
237,2023-09-26,4273.53
238,2023-09-25,4337.44
239,2023-09-22,4320.06
240,2023-09-21,4330.0
241,2023-09-20,4402.2
242,2023-09-19,4443.95
243,2023-09-18,4453.53
244,2023-09-15,4450.32
245,2023-09-14,4505.1
246,2023-09-13,4467.44
247,2023-09-12,4461.9
248,2023-09-11,4487.46
249,2023-09-08,4457.49
250,2023-09-07,4451.14
251,2023-09-06,4465.48
